French,English
partie,part
histoire,history
pensais,thought
demande,request
genre,kind
mois,month
car,because
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
arrivé,come
devrait,should
longtemps,long time
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
attention,Warning
pourrais,could
type,type
leurs,their
corps,body
endroit,place
façon,way
écoute,listen
dont,whose
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
sois,be
matin,morning
enfant,child
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
minutes,minutes
chambre,bedroom
mis,placed
belle,beautiful
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
jouer,to play
bureau,office
